,predicted
2001-01-01,0.5833943735678829
2001-02-01,0.03051678311288807
2001-03-01,-0.2622255536604901
2001-04-01,-0.42551939186184007
2001-05-01,-0.3517684092597183
2001-06-01,-0.4431755647273723
2001-07-01,-0.5195327449019925
2001-08-01,-0.5086821169453113
2001-09-01,-1.0261938029495183
2001-10-01,-0.6622015150662997
2001-11-01,-0.8437978666453203
2001-12-01,-1.0472722043642102
2002-01-01,-0.7453556814249822
2002-02-01,-0.5911594227454494
2002-03-01,-0.5250461714500461
2002-04-01,-0.3240598390722968
2002-05-01,-0.5649792037327753
2002-06-01,-0.5604697559685083
2002-07-01,-0.3301324488650851
2002-08-01,-0.4213259858838861
2002-09-01,-0.024002289882259203
2002-10-01,-0.4063556133087734
2002-11-01,-0.27022377415135584
2002-12-01,-0.002232052613506403
2003-01-01,-0.020458850575779477
2003-02-01,-0.1085771298304854
2003-03-01,0.15147448450405585
2003-04-01,-0.19296022250851616
2003-05-01,-0.0635593541479284
2003-06-01,0.028777332796161275
2003-07-01,0.27425680740502884
2003-08-01,0.5419116591159137
2003-09-01,0.6979249574815743
2003-10-01,0.8050698685274668
2003-11-01,0.9812275460927536
2003-12-01,0.6783548888389611
2004-01-01,0.8667924147054933
2004-02-01,1.0611717630376236
2004-03-01,0.9956527740007997
2004-04-01,1.2533091116397688
2004-05-01,1.5779287732351304
2004-06-01,1.1315149548525085
2004-07-01,1.1471069726145824
2004-08-01,0.7749472051866476
2004-09-01,1.152613608402466
2004-10-01,1.3756842571503187
2004-11-01,1.3656403079729644
2004-12-01,1.5687126223621233
2005-01-01,1.4485581581738587
2005-02-01,1.5801602260325662
2005-03-01,1.4507436349052825
2005-04-01,1.404594276015517
2005-05-01,0.9668710545930256
2005-06-01,1.669232709593556
2005-07-01,1.5354599726700096
2005-08-01,1.351682178781207
2005-09-01,1.1951164997121526
2005-10-01,1.3616760161467205
2005-11-01,1.0817084063478632
2005-12-01,1.0705049942761375
2006-01-01,1.257273780274935
2006-02-01,0.9531387502640573
2006-03-01,0.8967973007584054
2006-04-01,0.8925677341637026
2006-05-01,1.165104754502913
2006-06-01,0.8411911102694546
2006-07-01,0.5397644404490878
2006-08-01,0.6004546186271094
2006-09-01,0.49332687158387495
2006-10-01,0.13531910195621724
2006-11-01,0.19410900034575543
2006-12-01,0.349652245098518
2007-01-01,0.17780302968246053
2007-02-01,0.1662075980837462
2007-03-01,0.14607117692282642
2007-04-01,0.15262145830568863
2007-05-01,0.07457479802739528
2007-06-01,-0.032745647367570976
2007-07-01,-0.3012695209720604
2007-08-01,-0.08561846809989378
2007-09-01,-0.0418116461488102
2007-10-01,-0.056967206940429456
2007-11-01,0.20798878856898173
2007-12-01,0.053011324491665165
2008-01-01,-0.3691047226781017
2008-02-01,-0.5288663222683977
2008-03-01,-0.5754995042248093
2008-04-01,-0.6516658087750195
2008-05-01,-0.6268205435316982
2008-06-01,-0.4817885214547291
2008-07-01,-0.6474428518725546
2008-08-01,-0.8446296059055161
2008-09-01,-1.0980148669967862
2008-10-01,-1.4893469661229983
2008-11-01,-1.6634863875235502
2008-12-01,-1.6154494633413123
2009-01-01,-1.9620041685775742
2009-02-01,-1.9139929990134494
2009-03-01,-1.889042681802997
2009-04-01,-1.9960658015340171
2009-05-01,-1.9967719751642494
2009-06-01,-1.9465256277450305
2009-07-01,-1.9327737341919977
2009-08-01,-1.8667679913846396
2009-09-01,-1.7954213831992099
2009-10-01,-1.3544610296197606
2009-11-01,-1.3288436695662404
2009-12-01,-1.3503103199755973
2010-01-01,-0.8154019850581935
2010-02-01,-0.7960462781041431
2010-03-01,-0.661095951708929
2010-04-01,0.049096474160394143
2010-05-01,0.010435123688779278
2010-06-01,-0.12942907413404695
2010-07-01,0.48301293779802573
2010-08-01,0.3248907419232441
2010-09-01,0.7167299874537653
2010-10-01,-0.04915481504382301
2010-11-01,0.10069490417415454
2010-12-01,-0.03108663955837022
2011-01-01,-0.05847187445224543
2011-02-01,-0.02610579482400882
2011-03-01,0.07161233752136016
2011-04-01,0.0035673430727585277
2011-05-01,0.019043591244991984
2011-06-01,-0.07236323279589736
2011-07-01,-0.13935245200725466
2011-08-01,-0.2790514504833389
2011-09-01,-0.30967627539906006
2011-10-01,-0.15242570367103345
2011-11-01,-0.07288780099481874
2011-12-01,-0.009784087092006922
2012-01-01,0.08924123166989352
2012-02-01,0.26085920709697935
2012-03-01,0.346908527222519
2012-04-01,0.26401353823011675
2012-05-01,0.12905416950377546
2012-06-01,0.044547728910440475
2012-07-01,-0.02290824503769337
2012-08-01,-0.0576995487385847
2012-09-01,-0.0738032207218355
2012-10-01,-0.2538050912869462
2012-11-01,-0.32304227406153485
2012-12-01,-0.3974139821953096
2013-01-01,-0.3169796209631193
2013-02-01,-0.34389074047512525
2013-03-01,-0.39774964947050084
2013-04-01,-0.481464093978318
2013-05-01,-0.5715689741592225
2013-06-01,-0.5501109907822349
2013-07-01,-0.44437883459000244
2013-08-01,-0.3544328084443492
2013-09-01,-0.34106547831531986
2013-10-01,-0.2697690088037198
2013-11-01,-0.15766637057203237
2013-12-01,-0.05838399578666078
2014-01-01,-0.17748238446348122
2014-02-01,-0.2951728675296943
2014-03-01,-0.3493581694113262
2014-04-01,-0.11688270671853414
2014-05-01,0.09318899538502386
2014-06-01,0.2775410524726907
2014-07-01,0.34441483286730645
2014-08-01,0.41238950760063914
2014-09-01,0.39577103197791624
2014-10-01,0.3124154555107418
2014-11-01,0.2280518798693764
2014-12-01,0.1980830827606427
2015-01-01,0.26338947768050297
