,predicted
2001-01-01,0.9661844621941527
2001-02-01,0.8479278540954641
2001-03-01,0.5781773128474288
2001-04-01,0.4113038349994356
2001-05-01,0.5813272863554326
2001-06-01,0.44854782339852156
2001-07-01,0.15266949519204295
2001-08-01,-0.13724149387398712
2001-09-01,-0.19026324517004414
2001-10-01,-0.3755294123077333
2001-11-01,-0.748375049700322
2001-12-01,-0.8293388957710861
2002-01-01,-1.0050591791344035
2002-02-01,-1.1647634334501071
2002-03-01,-0.8142872061410531
2002-04-01,-0.7812831304210022
2002-05-01,-0.7405051897428035
2002-06-01,-0.8079664932357122
2002-07-01,-0.8141034740360309
2002-08-01,-0.507457929815406
2002-09-01,-0.3183827347002026
2002-10-01,-0.3907528615233494
2002-11-01,0.1393180553378145
2002-12-01,0.17682796600137676
2003-01-01,0.5730651109733427
2003-02-01,0.7452178047243753
2003-03-01,0.40211681440180236
2003-04-01,0.11863400281943806
2003-05-01,-0.19741907616107604
2003-06-01,-0.15932651352882118
2003-07-01,-0.11975577212651108
2003-08-01,0.06962536569414757
2003-09-01,0.007524377558997855
2003-10-01,0.08803789428344422
2003-11-01,-0.22067529184763401
2003-12-01,-0.1455147516180009
2004-01-01,-0.06858291626885804
2004-02-01,-0.2487153788187163
2004-03-01,-0.05761736042000951
2004-04-01,0.017370638789729123
2004-05-01,0.2529226135269649
2004-06-01,0.25639797188959623
2004-07-01,0.33476733532903563
2004-08-01,0.06178581619336472
2004-09-01,0.23302075800167452
2004-10-01,0.4950683803258959
2004-11-01,0.7953127086427244
2004-12-01,0.47335695249461324
2005-01-01,0.13861755689010014
2005-02-01,0.01969840944841024
2005-03-01,0.35765136430275735
2005-04-01,0.2888520329719406
2005-05-01,0.29206224640229117
2005-06-01,0.14384180854728884
2005-07-01,0.25038729199812365
2005-08-01,0.8971623561950329
2005-09-01,1.0644705802292356
2005-10-01,1.6317924173960192
2005-11-01,0.5945576011866186
2005-12-01,0.45597387062487704
2006-01-01,0.7998608463197875
2006-02-01,0.9571927580000317
2006-03-01,0.30315111931229793
2006-04-01,0.6837194671560666
2006-05-01,0.8117275446191786
2006-06-01,0.885407139484747
2006-07-01,0.8896079149673313
2006-08-01,0.7106304599487399
2006-09-01,0.49844169559809776
2006-10-01,-0.5963863408015002
2006-11-01,-0.07096086700994635
2006-12-01,0.10873711757959423
2007-01-01,0.06089049599956721
2007-02-01,-0.0880362694053677
2007-03-01,0.18384171026789736
2007-04-01,0.14855059989855776
2007-05-01,-0.024801794285172152
2007-06-01,0.2189091922358026
2007-07-01,0.13017640555888876
2007-08-01,-0.16748685145669476
2007-09-01,0.10109809914690453
2007-10-01,0.613008638151302
2007-11-01,0.8443650421807642
2007-12-01,1.350229417758096
2008-01-01,1.0552482238787917
2008-02-01,1.4360603138615673
2008-03-01,1.162396630696414
2008-04-01,1.1706685144674802
2008-05-01,1.2632094468510493
2008-06-01,1.6633178769861219
2008-07-01,1.9690961700717955
2008-08-01,1.7947734709891794
2008-09-01,1.2620514103321683
2008-10-01,0.441288987134231
2008-11-01,-0.5431860507664907
2008-12-01,-1.8040692781332388
2009-01-01,-1.5940180809168933
2009-02-01,-1.7877272534098305
2009-03-01,-1.7815046286572167
2009-04-01,-1.9419432807890493
2009-05-01,-1.7283438608082173
2009-06-01,-1.963565379190558
2009-07-01,-1.9874972586609525
2009-08-01,-1.9456573138927633
2009-09-01,-1.9848564933128192
2009-10-01,-1.3466871329899726
2009-11-01,-0.9764284861860255
2009-12-01,0.027038615565545387
2010-01-01,-0.17108292346068682
2010-02-01,-0.17683889420633778
2010-03-01,-0.5121964965249763
2010-04-01,-0.20391061802207913
2010-05-01,-0.8358111799083897
2010-06-01,-0.8799882545806935
2010-07-01,-1.0937545535423048
2010-08-01,-0.6535771161831181
2010-09-01,-0.6271490380145563
2010-10-01,-0.5328396819430515
2010-11-01,-0.5850175218431519
2010-12-01,-0.3878359419866623
2011-01-01,-0.34563251416064633
2011-02-01,-0.13484522224085418
2011-03-01,0.17423401040700054
2011-04-01,0.3778285586377551
2011-05-01,0.5922553332719479
2011-06-01,0.7544328914208577
2011-07-01,0.7417464900432046
2011-08-01,0.6340238571811975
2011-09-01,0.6163315211615052
2011-10-01,0.48039380387698605
2011-11-01,0.1833790867839727
2011-12-01,0.08186128983327662
2012-01-01,-0.15498263353672712
2012-02-01,-0.23705119002872654
2012-03-01,-0.20813283459696588
2012-04-01,-0.37357039156841887
2012-05-01,-0.574849866089042
2012-06-01,-0.8518604617637173
2012-07-01,-0.8997634577168474
2012-08-01,-0.8386966866794708
2012-09-01,-0.6620688863848817
2012-10-01,-0.4326149791629756
2012-11-01,-0.2792311928246852
2012-12-01,-0.400265845229911
2013-01-01,-0.44507341241425846
2013-02-01,-0.5322929451804649
2013-03-01,-0.4974655791909045
2013-04-01,-0.7183103719265912
2013-05-01,-0.8802471691839989
2013-06-01,-0.7374978583795753
2013-07-01,-0.6181198197447448
2013-08-01,-0.680224911070184
2013-09-01,-0.8603665599845497
2013-10-01,-0.970967567960477
2013-11-01,-1.0491225893439684
2013-12-01,-0.9429112980280013
2014-01-01,-0.8747067822301449
2014-02-01,-0.8237016323549364
2014-03-01,-0.9278779981386464
2014-04-01,-0.5938575407624315
2014-05-01,-0.3536307917649457
2014-06-01,-0.26586791434984214
2014-07-01,-0.35787958440879686
2014-08-01,-0.3945283478873853
2014-09-01,-0.5709697677860283
2014-10-01,-0.6411491453761701
2014-11-01,-0.6850708502245131
2014-12-01,-0.8357886396973667
2015-01-01,-1.1553559469999959
